'y-axis saved as y
'x,LKL063_Sr85Na15Pd3O4_testingdecomp.xy,Ycalc,Diff,SrPd3O4
5.01157,2093,0,0,0
5.0247,2204,0,0,0
5.03783,2143,0,0,0
5.05096,2120,0,0,0
5.06409,2153,0,0,0
5.07722,2170,0,0,0
5.09035,2131,0,0,0
5.10348,2127,0,0,0
5.11661,2072,0,0,0
5.12974,2162,0,0,0
5.14287,2112,0,0,0
5.156,2138,0,0,0
5.16913,2030,0,0,0
5.18226,2146,0,0,0
5.19539,2139,0,0,0
5.20852,2190,0,0,0
5.22165,2058,0,0,0
5.23478,2095,0,0,0
5.24791,2108,0,0,0
5.26104,2107,0,0,0
5.27417,2015,0,0,0
5.2873,2193,0,0,0
5.30043,2066,0,0,0
5.31356,2027,0,0,0
5.32669,2097,0,0,0
5.33982,2106,0,0,0
5.35295,1998,0,0,0
5.36608,2075,0,0,0
5.37921,2095,0,0,0
5.39234,2096,0,0,0
5.40547,2117,0,0,0
5.4186,2064,0,0,0
5.43173,2102,0,0,0
5.44486,2057,0,0,0
5.45799,2026,0,0,0
5.47112,2144,0,0,0
5.48426,2070,0,0,0
5.49739,2118,0,0,0
5.51052,2068,0,0,0
5.52365,2054,0,0,0
5.53678,2063,0,0,0
5.54991,2055,0,0,0
5.56304,1974,0,0,0
5.57617,2097,0,0,0
5.5893,2047,0,0,0
5.60243,2035,0,0,0
5.61556,2080,0,0,0
5.62869,2010,0,0,0
5.64182,2047,0,0,0
5.65495,2009,0,0,0
5.66808,2017,0,0,0
5.68121,2067,0,0,0
5.69434,2081,0,0,0
5.70747,2023,0,0,0
5.7206,2005,0,0,0
5.73373,1980,0,0,0
5.74686,1940,0,0,0
5.75999,2073,0,0,0
5.77312,2000,0,0,0
5.78625,2030,0,0,0
5.79938,1961,0,0,0
5.81251,2052,0,0,0
5.82564,2014,0,0,0
5.83877,1956,0,0,0
5.8519,2014,0,0,0
5.86503,1999,0,0,0
5.87816,2001,0,0,0
5.89129,1984,0,0,0
5.90442,2001,0,0,0
5.91755,1991,0,0,0
5.93068,1957,0,0,0
5.94382,2059,0,0,0
5.95695,1991,0,0,0
5.97008,2001,0,0,0
5.98321,1991,0,0,0
5.99634,2017,0,0,0
6.00947,2027,0,0,0
6.0226,1933,0,0,0
6.03573,1967,0,0,0
6.04886,1937,0,0,0
6.06199,1973,0,0,0
6.07512,2084,0,0,0
6.08825,1993,0,0,0
6.10138,2055,0,0,0
6.11451,2008,0,0,0
6.12764,1969,0,0,0
6.14077,1976,0,0,0
6.1539,1986,0,0,0
6.16703,1949,0,0,0
6.18016,1955,0,0,0
6.19329,2079,0,0,0
6.20642,1980,0,0,0
6.21955,1988,0,0,0
6.23268,1956,0,0,0
6.24581,1878,0,0,0
6.25894,1911,0,0,0
6.27207,1930,0,0,0
6.2852,1880,0,0,0
6.29833,1877,0,0,0
6.31146,1911,0,0,0
6.32459,1953,0,0,0
6.33772,1947,0,0,0
6.35085,1895,0,0,0
6.36398,1844,0,0,0
6.37711,1952,0,0,0
6.39024,1936,0,0,0
6.40337,1905,0,0,0
6.41651,1904,0,0,0
6.42964,1909,0,0,0
6.44277,1954,0,0,0
6.4559,1966,0,0,0
6.46903,1975,0,0,0
6.48216,1913,0,0,0
6.49529,1922,0,0,0
6.50842,1912,0,0,0
6.52155,1855,0,0,0
6.53468,1970,0,0,0
6.54781,1891,0,0,0
6.56094,1866,0,0,0
6.57407,1887,0,0,0
6.5872,1888,0,0,0
6.60033,1893,0,0,0
6.61346,1845,0,0,0
6.62659,1878,0,0,0
6.63972,1880,0,0,0
6.65285,1979,0,0,0
6.66598,1885,0,0,0
6.67911,1872,0,0,0
6.69224,1845,0,0,0
6.70537,1930,0,0,0
6.7185,1854,0,0,0
6.73163,1928,0,0,0
6.74476,1868,0,0,0
6.75789,1822,0,0,0
6.77102,1822,0,0,0
6.78415,1841,0,0,0
6.79728,1915,0,0,0
6.81041,1935,0,0,0
6.82354,1886,0,0,0
